,cntSender,cntRecipient
Swang,0.0,10.0
Sweitzer,0.0,10.0
Talya Gordon,0.0,10.0
Tgh Pge,0.0,10.0
Thaywood Ftenergy,0.0,10.0
Thida@Best.Com,0.0,10.0
Tjohnso,0.0,10.0
Tom Dutta,0.0,10.0
Travis,0.0,10.0
Trpape,0.0,10.0
Tsrdock Mcn,0.0,10.0
Tsweitz,0.0,10.0
Tvos,0.0,10.0
Vernon,0.0,10.0
Vga Blakes,0.0,10.0
Vince Hawkes,0.0,10.0
Vince J Kaminski,0.0,10.0
Vos,0.0,10.0
Wabler,0.0,10.0
Wconwell,0.0,10.0
Websaver Guava Ease Lsoft,0.0,10.0
Wei Hu,0.0,10.0
Wfhall,0.0,10.0
Williamgtrulove Ev,0.0,10.0
Ytian,0.0,10.0
Aa,0.0,9.0
Aadamson Nycap,0.0,9.0
Adam Gross,0.0,9.0
Ader,0.0,9.0
Af Bd,0.0,9.0
Alec Cohen,0.0,9.0
Amh H Server Virginia,0.0,9.0
Ann Chen,0.0,9.0
Annemoisan,0.0,9.0
Announcement Group,0.0,9.0
Ashlee Kcac,0.0,9.0
Audrey Oneil,0.0,9.0
Barnett,0.0,9.0
Barney Brasher,0.0,9.0
Barryp Bp,0.0,9.0
Bchandle,0.0,9.0
Bill Casey Pgn,0.0,9.0
Bill Donovan,0.0,9.0
Bjenkin,0.0,9.0
Bjones,0.0,9.0
Bland Jr,0.0,9.0
Bob Sparger,0.0,9.0
Bondareva,0.0,9.0
Brad Coleman,0.0,9.0
Brenda Rowan,0.0,9.0
Brent King,0.0,9.0
Bridgelinelist,0.0,9.0
Brostad,0.0,9.0
Bshook Leathercenter,0.0,9.0
Btuttle,0.0,9.0
Busanal Rptgall Hou,0.0,9.0
Busby,0.0,9.0
Cassandra Alston,0.0,9.0
Cbalfou,0.0,9.0
Cbardal,0.0,9.0
Cdownard Vailresorts,0.0,9.0
Chandler,0.0,9.0
Charles Delacey,0.0,9.0
Chris Guidroz,0.0,9.0
Chrisdorland,0.0,9.0
Christiansen,0.0,9.0
Clarissa,0.0,9.0
Clong,0.0,9.0
Cohnap Sce,0.0,9.0
Cole,0.0,9.0
Cons,0.0,9.0
Corpgen Abanet,0.0,9.0
Crote Vaultnet,0.0,9.0
Crow Millernash,0.0,9.0
Ctrueheart Eei,0.0,9.0
Cwcarso,0.0,9.0
Dadson,0.0,9.0
Dale,0.0,9.0
Daniel Sarti,0.0,9.0
Danielle Lewis,0.0,9.0
Dannis Bellard,0.0,9.0
Dave Laipple,0.0,9.0
Dave Schafer,0.0,9.0
David Crews,0.0,9.0
David Lund,0.0,9.0
David Marks,0.0,9.0
David Nutt,0.0,9.0
Davidr Delaney,0.0,9.0
Db,0.0,9.0
Dcasse Whwg,0.0,9.0
Ddornan,0.0,9.0
Designzine Dlogic,0.0,9.0
Df Ef Ad Db,0.0,9.0
Dg Pacbell,0.0,9.0
Dkinney Columbiaenergygroup,0.0,9.0
Dmuscha,0.0,9.0
Donovan,0.0,9.0
Dornan,0.0,9.0
Doug Gilbert,0.0,9.0
Douglas Nichols Pgn,0.0,9.0
Dplachy,0.0,9.0
Dratlif,0.0,9.0
Drew,0.0,9.0
Dries,0.0,9.0
Dtaylor,0.0,9.0
Dttowns Swbell,0.0,9.0
Dvinson,0.0,9.0
Earl,0.0,9.0
Edward Schrom Dps Ny,0.0,9.0
Ekevelson,0.0,9.0
Elden Condie,0.0,9.0
Ellis Stern,0.0,9.0
Emmanuelle Sebton,0.0,9.0
Employees N America,0.0,9.0
Emt,0.0,9.0
Enatradingtrack,0.0,9.0
Eolnonnorthamericatraders,0.0,9.0
Eric Kirkpatrick,0.0,9.0
Erwin,0.0,9.0
Fc Bfce Cc,0.0,9.0
Fisher,0.0,9.0
Fite,0.0,9.0
Flemingryan,0.0,9.0
Frank Kluesener,0.0,9.0
Fred Lindner,0.0,9.0
Galvan,0.0,9.0
Garberding,0.0,9.0
George Carrick,0.0,9.0
Geshay Pplweb,0.0,9.0
Gramesh,0.0,9.0
Greg Hathaway,0.0,9.0
Guido Caranti,0.0,9.0
Hachen,0.0,9.0
Halsey Nimo,0.0,9.0
Harold G,0.0,9.0
Hart,0.0,9.0
Hayes,0.0,9.0
Hesse,0.0,9.0
Ialvare,0.0,9.0
Isodispute Caiso,0.0,9.0
J Perches,0.0,9.0
Jan Smutny,0.0,9.0
Janine,0.0,9.0
Jarnold Ees,0.0,9.0
Jason Bass,0.0,9.0
Jason R Wiesepape,0.0,9.0
Jblachma,0.0,9.0
Jblackb,0.0,9.0
Jblaine,0.0,9.0
Jchoate,0.0,9.0
Jeffery,0.0,9.0
Jeffrey T,0.0,9.0
Jfernan,0.0,9.0
Jhenry,0.0,9.0
Jima Pandaenergy,0.0,9.0
Jjohnso,0.0,9.0
Jkeller,0.0,9.0
Jkemp,0.0,9.0
Jmrtexas Swbell,0.0,9.0
John Scarborough,0.0,9.0
Jon Paul,0.0,9.0
Jones Brad,0.0,9.0
Jshakerdge Natsource,0.0,9.0
Jsherrif,0.0,9.0
Kayquigs,0.0,9.0
Kbussel,0.0,9.0
Kcarrlcsw,0.0,9.0
Kemp,0.0,9.0
Kenneth Rice,0.0,9.0
Ketan Ms,0.0,9.0
Kevin Kohnstamm,0.0,9.0
Kimberly Scardino,0.0,9.0
Kkw,0.0,9.0
Klande,0.0,9.0
Kmennerich Cenhud,0.0,9.0
Kneenjm Bp,0.0,9.0
Kristin Cantu,0.0,9.0
Kstroup,0.0,9.0
Laura Wilkinson,0.0,9.0
Laurent,0.0,9.0
Lenhart Matthew,0.0,9.0
Lhesse,0.0,9.0
Lkuch Mh,0.0,9.0
Lois Ford,0.0,9.0
Lomani Cs,0.0,9.0
Louis,0.0,9.0
Lrenaud,0.0,9.0
Lsawyer,0.0,9.0
Luong,0.0,9.0
Lwhite,0.0,9.0
Magee,0.0,9.0
Maria Luna,0.0,9.0
Mark Haedicke Hou,0.0,9.0
Marketparticipants Caiso,0.0,9.0
Marketstatus Caiso,0.0,9.0
Martin Wenzel,0.0,9.0
Mary Theresa,0.0,9.0
Mary Theresa Franklin Hou,0.0,9.0
Matheson,0.0,9.0
Mbp,0.0,9.0
Mcbride,0.0,9.0
Mdas Caiso,0.0,9.0
Melanie Doyle,0.0,9.0
Mfe,0.0,9.0
Mgarber,0.0,9.0
Mgray,0.0,9.0
Michael Bradley,0.0,9.0
Michael Cuccia,0.0,9.0
Mikegrigsby,0.0,9.0
Miller Don,0.0,9.0
Minter,0.0,9.0
Mona,0.0,9.0
Monica Jordan,0.0,9.0
Mpa Aelaw,0.0,9.0
Mreese Cmshq,0.0,9.0
Mschoen,0.0,9.0
Msiegel,0.0,9.0
Msteven,0.0,9.0
Mulligan,0.0,9.0
Mvidetto,0.0,9.0
Myersnamie,0.0,9.0
Nathan Dougherty,0.0,9.0
Netcogastraders,0.0,9.0
Niamh Clarke,0.0,9.0
Nmisra,0.0,9.0
Nusbaum Qwest,0.0,9.0
Olinde Jr,0.0,9.0
Ospbc Egroups,0.0,9.0
Pagenet,0.0,9.0
Pardevelop,0.0,9.0
Patrick Callahan Rge,0.0,9.0
Pbarry,0.0,9.0
Pbsp Feargreed,0.0,9.0
Pcox,0.0,9.0
Philip Crowley,0.0,9.0
Pkeene,0.0,9.0
Plachy,0.0,9.0
Ramesh,0.0,9.0
Randy,0.0,9.0
Rantonof Cwt,0.0,9.0
Raquel Lopez,0.0,9.0
Ray Neppl,0.0,9.0
Rbennin,0.0,9.0
Rbolbrock Lipower,0.0,9.0
Rbryan,0.0,9.0
Rhonda,0.0,9.0
Ries,0.0,9.0
Rob,0.0,9.0
Rob Bakondy,0.0,9.0
Robert Gresch,0.0,9.0
Robert Hall,0.0,9.0
Robert Hermann,0.0,9.0
Roger Clayton,0.0,9.0
Ron Harkrader,0.0,9.0
Rratcli,0.0,9.0
Rrivera Susmangodfrey,0.0,9.0
Rsbaker,0.0,9.0
Russell Aeria,0.0,9.0
San,0.0,9.0
Sara Solorio,0.0,9.0
Sawyer,0.0,9.0
Scott Adams,0.0,9.0
Sdaniel,0.0,9.0
Sen Touch Newsletter List,0.0,9.0
Serrano,0.0,9.0
Services Notes Twst,0.0,9.0
Shackleton Sara,0.0,9.0
Sharon Farrell,0.0,9.0
Shawn Feeney,0.0,9.0
Sherbich Paclawteam,0.0,9.0
Simone,0.0,9.0
Smu Betas Yahoogroups,0.0,9.0
Sstack,0.0,9.0
Stephen Wallace,0.0,9.0
Steve Legal,0.0,9.0
Steven J,0.0,9.0
Stuart Bland,0.0,9.0
Sue Rich,0.0,9.0
Tdetmer,0.0,9.0
Team Carlsbad,0.0,9.0
Teun Van,0.0,9.0
Tom Brooker,0.0,9.0
Tom Donohoe Hou,0.0,9.0
Twheele,0.0,9.0
Vangie Mcgilloway,0.0,9.0
Vicki Sandler,0.0,9.0
Walls,0.0,9.0
Wayne Mays,0.0,9.0
Wclagett Orci,0.0,9.0
Willie Stewart,0.0,9.0
Winckowski,0.0,9.0
Wserran,0.0,9.0
Wstubble,0.0,9.0
Yfrolov,0.0,9.0
Yrnffin,0.0,9.0
A Capolongo,0.0,8.0
Aatta,0.0,8.0
Ab Eec,0.0,8.0
Aberutti,0.0,8.0
Adamik,0.0,8.0
Adele Zuroff,0.0,8.0
Ajm@Lehman.Com,0.0,8.0
Alabbe,0.0,8.0
Alan Nueman,0.0,8.0
All Xms,0.0,8.0
Alvarezj Coned,0.0,8.0
Ambler,0.0,8.0
Amy Sheridan,0.0,8.0
Andre Robinson,0.0,8.0
Angela Brown,0.0,8.0
Angiegillikin,0.0,8.0
Anne Edgley,0.0,8.0
Apke Alltel,0.0,8.0
Arao@Haas.Berkeley.Edu,0.0,8.0
Aromero,0.0,8.0
Atta,0.0,8.0
Barbara N,0.0,8.0
Bboeh Opic,0.0,8.0
Bcash Srfunds,0.0,8.0
Bdornie,0.0,8.0
Beck Sally,0.0,8.0
Berutti,0.0,8.0
Bgannaway Tielp,0.0,8.0
Bhare,0.0,8.0
Bhillie,0.0,8.0
Billy,0.0,8.0
Bob Barron,0.0,8.0
Bob Jacobs Eott,0.0,8.0
Bob Mcchane,0.0,8.0
Bosse,0.0,8.0
Bpehliva,0.0,8.0
Brad Bangle,0.0,8.0
Bridget Mcevoy,0.0,8.0
Broderick,0.0,8.0
Brown,0.0,8.0
Bruce Connery,0.0,8.0
Bryan Murtagh,0.0,8.0
Camsell Pacbell,0.0,8.0
Carpenter,0.0,8.0
Catherine Woods,0.0,8.0
Cbruce,0.0,8.0
Ccates Lbjs,0.0,8.0
Ccramer,0.0,8.0
Cedric,0.0,8.0
Cgerard,0.0,8.0
Charon Little,0.0,8.0
Cheryl,0.0,8.0
Chook,0.0,8.0
Christine Lee,0.0,8.0
Christopher Hunt,0.0,8.0
Chyde,0.0,8.0
Clemons,0.0,8.0
Cmoore Akingump,0.0,8.0
Concklin,0.0,8.0
Coneil,0.0,8.0
Cordes,0.0,8.0
Cpburkhart,0.0,8.0
Cweyman Astraoil,0.0,8.0
Cynthia,0.0,8.0
Cyprow,0.0,8.0
Dadamik,0.0,8.0
Dan Lindquist,0.0,8.0
Daren J,0.0,8.0
Daren J Farmer,0.0,8.0
Darrell,0.0,8.0
David Becker I,0.0,8.0
David Botchlett,0.0,8.0
David Eldridge,0.0,8.0
David Siddall,0.0,8.0
Dbaughm Notes,0.0,8.0
Dcweiner Hahnlaw,0.0,8.0
Debbie R,0.0,8.0
Deleon,0.0,8.0
Denise Squirrel,0.0,8.0
Dfuente,0.0,8.0
Dfurrow,0.0,8.0
Dhill Wrf,0.0,8.0
Dleboe,0.0,8.0
Dmaster,0.0,8.0
Doug Mcdowell,0.0,8.0
Douglas Clifford,0.0,8.0
Dowd,0.0,8.0
Driscoll Ernest,0.0,8.0
Dtucker Bracepatt,0.0,8.0
Dusty Warren,0.0,8.0
Dwindham Uclink,0.0,8.0
Dyson,0.0,8.0
Eddie Cotto,0.0,8.0
Eholm Aracnet,0.0,8.0
Eickenroht,0.0,8.0
Elena Carver,0.0,8.0
Ellen,0.0,8.0
Ellenberg,0.0,8.0
Elmo Gore,0.0,8.0
Employees United States Special,0.0,8.0
Enronindustrialmarkets,0.0,8.0
Eric Mcmurry,0.0,8.0
Eserio,0.0,8.0
Ferries,0.0,8.0
Frank Afranji,0.0,8.0
Fred Enochs,0.0,8.0
Fred Sampaio,0.0,8.0
Frers,0.0,8.0
Frevert,0.0,8.0
Fsulisti,0.0,8.0
Fuentes,0.0,8.0
G Swbell,0.0,8.0
Ga Ubswenergy,0.0,8.0
Ganders,0.0,8.0
Gaye Lynn,0.0,8.0
Gfrers,0.0,8.0
Ghardewa,0.0,8.0
Ghosei Rice,0.0,8.0
Ghoshr Rice,0.0,8.0
Gilchrist,0.0,8.0
Girly Buf,0.0,8.0
Glen,0.0,8.0
Gloria Alvarez,0.0,8.0
Gmann,0.0,8.0
Gmelman,0.0,8.0
Gmendoza,0.0,8.0
Grace Kim,0.0,8.0
Green,0.0,8.0
Greenwire Eenews,0.0,8.0
Griffin,0.0,8.0
Gruesen,0.0,8.0
Guadarrama,0.0,8.0
Gwasaff,0.0,8.0
Hawkins,0.0,8.0
Heath Taylor,0.0,8.0
Helen Zhang,0.0,8.0
Helton,0.0,8.0
Herman,0.0,8.0
Hillier,0.0,8.0
Hkedwai,0.0,8.0
Holden,0.0,8.0
Holsworth,0.0,8.0
Hook,0.0,8.0
Hottodayfutures Ctstrader,0.0,8.0
Hueter,0.0,8.0
Imack,0.0,8.0
Isdalondon Isda,0.0,8.0
Isranir Rice,0.0,8.0
Jacqueline,0.0,8.0
Jambler,0.0,8.0
James Petrie,0.0,8.0
Jan Sutherland,0.0,8.0
Jan Wilson,0.0,8.0
Jane,0.0,8.0
Janelle,0.0,8.0
Janelle Duree,0.0,8.0
Janette,0.0,8.0
Jason Smith,0.0,8.0
Jbryja,0.0,8.0
Jbutler,0.0,8.0
Jcyprow,0.0,8.0
Jdasovic Ees,0.0,8.0
Jeff Smith Afcc,0.0,8.0
Jeffrey Benton,0.0,8.0
Jennifer Pattison,0.0,8.0
Jesse Neyman,0.0,8.0
Jgardine Skadden,0.0,8.0
Jhmoore,0.0,8.0
Jilld Cnrl,0.0,8.0
Jim Irvine,0.0,8.0
Jkaniss,0.0,8.0
Jlewis,0.0,8.0
Jliccia,0.0,8.0
Jmassey,0.0,8.0
Jmcbrid,0.0,8.0
John Knock,0.0,8.0
Jonathan,0.0,8.0
Jshafer,0.0,8.0
Jsmith Austintx Jeff Smith Cjsmith,0.0,8.0
Julie Cohn,0.0,8.0
Julie Johnson,0.0,8.0
Jwagner,0.0,8.0
Jyazzo Naic,0.0,8.0
Kara Saxon,0.0,8.0
Kbosse,0.0,8.0
Kbrafman,0.0,8.0
Kbridge,0.0,8.0
Kbrosta,0.0,8.0
Kedwaii,0.0,8.0
Keith,0.0,8.0
Kelly Brodbeck,0.0,8.0
Kendrick Brown,0.0,8.0
Kenduncan,0.0,8.0
Kentdorland,0.0,8.0
Kgruese,0.0,8.0
Koenig,0.0,8.0
Koquinn,0.0,8.0
Kristal,0.0,8.0
Labbe,0.0,8.0
Lacooper Dow Cooper Lance La Clacooper,0.0,8.0
Lance,0.0,8.0
Laura Gutierrez,0.0,8.0
Lawrence Lawyer,0.0,8.0
Lcanno,0.0,8.0
Ldyer,0.0,8.0
Leahy,0.0,8.0
Legal,0.0,8.0
Lindeman,0.0,8.0
Ling Li,0.0,8.0
Lqcolombo,0.0,8.0
Lscott,0.0,8.0
Luanne Giessen,0.0,8.0
Luitgard Fischer,0.0,8.0
Lwehrin,0.0,8.0
Mac Hargrove,0.0,8.0
Margie Straight,0.0,8.0
Marianne Salinas,0.0,8.0
Marina Tchernokojeva,0.0,8.0
Markb Rand,0.0,8.0
Marlene,0.0,8.0
Mary Nordstrom,0.0,8.0
Massey Ii,0.0,8.0
Mathis,0.0,8.0
Matthew Olney,0.0,8.0
Maxwell,0.0,8.0
Mblaine,0.0,8.0
Mcgowenj Epenergy,0.0,8.0
Mckinney,0.0,8.0
Mclark,0.0,8.0
Mclay,0.0,8.0
Mdupuy,0.0,8.0
Mediagrok Thestandard Publisher,0.0,8.0
Melinda Winkler,0.0,8.0
Melissa Beckett,0.0,8.0
Mellenb,0.0,8.0
Merritt Thomas,0.0,8.0
Mfrevert,0.0,8.0
Mgarrison Cinergy,0.0,8.0
Mholswo,0.0,8.0
Michael Khajeh,0.0,8.0
Michael Sergeev,0.0,8.0
Mike Dahlke,0.0,8.0
Mike Pate Oxy,0.0,8.0
Mlamb,0.0,8.0
Mlande,0.0,8.0
Mmagee,0.0,8.0
Mmahan,0.0,8.0
Molsen,0.0,8.0
Moseley,0.0,8.0
Mpowell,0.0,8.0
Mraque,0.0,8.0
Msanche,0.0,8.0
Msavidan,0.0,8.0
Murphy,0.0,8.0
Mwincko,0.0,8.0
Neville,0.0,8.0
Nigel Sellens,0.0,8.0
Nmann Erac,0.0,8.0
North America,0.0,8.0
Nowlan Jr,0.0,8.0
Ochsner,0.0,8.0
Opagan,0.0,8.0
Oquinn,0.0,8.0
Orsi Tconl Larry Corsi,0.0,8.0
Patrick Danaher,0.0,8.0
Paula Craft,0.0,8.0
Pchymiy Nui,0.0,8.0
Pdavis,0.0,8.0
Peggy Phillips,0.0,8.0
Pgoradi,0.0,8.0
Phil Layton,0.0,8.0
Pjohns,0.0,8.0
Pleahy,0.0,8.0
Pmulvany,0.0,8.0
Protocols Implementation,0.0,8.0
Raceved,0.0,8.0
Radamiak Cabotlng,0.0,8.0
Reginald Shanks,0.0,8.0
Richard Cockrell,0.0,8.0
Richard Smith,0.0,8.0
Rlehmann,0.0,8.0
Rlmichaelis Hormel,0.0,8.0
Robin Decker,0.0,8.0
Roger Ross,0.0,8.0
Roy Poyntz,0.0,8.0
Sage Richard,0.0,8.0
Sandy Tungare Vistaar,0.0,8.0
Sarah Tomalty,0.0,8.0
Saulh Econnergy,0.0,8.0
Schoen,0.0,8.0
Scocke,0.0,8.0
Scot Chambers,0.0,8.0
Sean Holmes,0.0,8.0
Serio,0.0,8.0
Sfisher,0.0,8.0
Sierra,0.0,8.0
Sjosey,0.0,8.0
Sknudse,0.0,8.0
Solinde,0.0,8.0
Southard,0.0,8.0
Sperich,0.0,8.0
Spivakj Coned,0.0,8.0
Stephen Abbanat,0.0,8.0
Stephen Horn,0.0,8.0
Stephen Veatch,0.0,8.0
Steve Elliott,0.0,8.0
Steve Jacobellis,0.0,8.0
Sue,0.0,8.0
Sulistio,0.0,8.0
Szarkows,0.0,8.0
Team Ashland,0.0,8.0
Team Laguna,0.0,8.0
Tedbockius Spherion,0.0,8.0
Tengel,0.0,8.0
Terrance Ganser,0.0,8.0
Teseo Bergoglio,0.0,8.0
Thakkar,0.0,8.0
Thall,0.0,8.0
Thuraisingham,0.0,8.0
Tmcustomers Alleghenypower,0.0,8.0
Tmihali,0.0,8.0
Tminter,0.0,8.0
Tom Bruce,0.0,8.0
Transportation Services Operations,0.0,8.0
Tray,0.0,8.0
Tucker,0.0,8.0
Turktalk,0.0,8.0
Twise Gasbiz,0.0,8.0
Undergrd,0.0,8.0
Valderrama,0.0,8.0
Varnell,0.0,8.0
Vicki,0.0,8.0
Vicki Berg,0.0,8.0
Vweldon,0.0,8.0
Wbrady,0.0,8.0
Wesleyddale,0.0,8.0
Williams Ltd,0.0,8.0
Wise,0.0,8.0
Www Stockbrokers,0.0,8.0
Yhaynes Mindspring,0.0,8.0
Ykristal,0.0,8.0
"""Mark_Kopinski/Intl/Acim/Americancentury""@Americancentury.Com",0.0,7.0
Aadams,0.0,7.0
Aagudelo,0.0,7.0
Aalkhay,0.0,7.0
Acavazos,0.0,7.0
Adadson,0.0,7.0
Adam Cooper,0.0,7.0
Aeabbott,0.0,7.0
Afay,0.0,7.0
Afowler Arcfinancial,0.0,7.0
Agaddis,0.0,7.0
Ahernan,0.0,7.0
Ahmed,0.0,7.0
Alan Behrens,0.0,7.0
Alb Kri,0.0,7.0
Alexander Gonzales,0.0,7.0
Alkhayat,0.0,7.0
Alon,0.0,7.0
Amh H Virginia,0.0,7.0
Amie Ha,0.0,7.0
Amy Ochoa,0.0,7.0
Andreas Barschkis,0.0,7.0
Andrew Downes,0.0,7.0
Andrew Haller,0.0,7.0
Angel,0.0,7.0
Annamarie La,0.0,7.0
Anne Bertino,0.0,7.0
Anne Folland,0.0,7.0
Annette Estrella,0.0,7.0
Announcements Houstonheights,0.0,7.0
Arsystem Mailman,0.0,7.0
Art Ekpc,0.0,7.0
Aschott Cs,0.0,7.0
Aschwarz,0.0,7.0
Athakkar,0.0,7.0
Atul Agarwal,0.0,7.0
Audrey Harenski,0.0,7.0
Ba,0.0,7.0
Babbio Bellatlantic,0.0,7.0
Bander,0.0,7.0
Barry Schnapper,0.0,7.0
Bates Airmail,0.0,7.0
Baucoin,0.0,7.0
Bcambr Lsuhsc,0.0,7.0
Bd Cd Ac,0.0,7.0
Beaver Beaveraplin,0.0,7.0
Berry Apx,0.0,7.0
Berry Gk,0.0,7.0
Beth Ng,0.0,7.0
Beverly,0.0,7.0
Bfernandez Sithe,0.0,7.0
Bgreeni,0.0,7.0
Bherman,0.0,7.0
Bill Bowes,0.0,7.0
Bjackson,0.0,7.0
Blauderback Soes,0.0,7.0
Bneff,0.0,7.0
Bonne Castellano,0.0,7.0
Boston,0.0,7.0
Bradb Calpine,0.0,7.0
Bradley,0.0,7.0
Brett Treadwell,0.0,7.0
Browning,0.0,7.0
Bschaffe,0.0,7.0
Capestany,0.0,7.0
Cara,0.0,7.0
Carla,0.0,7.0
Carlito Swbell,0.0,7.0
Carnold Iso Ne,0.0,7.0
Cc,0.0,7.0
Cfe Ef,0.0,7.0
Cgaffne,0.0,7.0
Cgeorge,0.0,7.0
Chad,0.0,7.0
Charlene Merrill,0.0,7.0
Cheek,0.0,7.0
Chin,0.0,7.0
Chribernik Proliance,0.0,7.0
Chris Austin,0.0,7.0
Chris Constantine,0.0,7.0
Cindy Cicchetti,0.0,7.0
Cindy Derecksey,0.0,7.0
Cliff Lawrick,0.0,7.0
Clindema,0.0,7.0
Cmallory,0.0,7.0
Connie Wester,0.0,7.0
Cordway,0.0,7.0
Cpryor Caiso,0.0,7.0
Cra Calretailers,0.0,7.0
Cskinner Cabotlng,0.0,7.0
Cwester,0.0,7.0
Daily Eenews,0.0,7.0
Danielleacampora,0.0,7.0
David Meyer,0.0,7.0
David Peterson,0.0,7.0
De La,0.0,7.0
Dean Clint,0.0,7.0
Deborah Bubenko,0.0,7.0
Debra Atkins Harris Tx,0.0,7.0
Denisnaq,0.0,7.0
Denny,0.0,7.0
Devries,0.0,7.0
Dfarmer Ei,0.0,7.0
Dick,0.0,7.0
Dickin,0.0,7.0
Divelbiss,0.0,7.0
Dlisk,0.0,7.0
Dmarsha,0.0,7.0
Dmoore,0.0,7.0
Donald Montgomery,0.0,7.0
Donna Bily,0.0,7.0
Douglas Porter,0.0,7.0
Dstevens Rangeresources,0.0,7.0
Dthibaut,0.0,7.0
Eae Bb Bd,0.0,7.0
Ebess,0.0,7.0
Ebraden,0.0,7.0
Editorial Realtimetraders,0.0,7.0
Edward Hamb,0.0,7.0
El Gato Swbell,0.0,7.0
Elaine Citizenspower,0.0,7.0
Elamprecht Encompserv,0.0,7.0
Electricity,0.0,7.0
Elizabethrhood,0.0,7.0
Enron Apollo,0.0,7.0
Enron Executive,0.0,7.0
Enron Ias,0.0,7.0
Enron Worldwide,0.0,7.0
Eolcallcenter,0.0,7.0
Eren Nrel,0.0,7.0
Erichardson Sarofim,0.0,7.0
Ernest Pittarelli,0.0,7.0
Eswider Kpmg,0.0,7.0
Etortole,0.0,7.0
Executive Committee,0.0,7.0
Fax Hoegh No,0.0,7.0
Fking,0.0,7.0
Fom Cc,0.0,7.0
Franksen,0.0,7.0
Ga Egs,0.0,7.0
Ga Employees,0.0,7.0
Gabrielle Hagele,0.0,7.0
Gaffney,0.0,7.0
Galt,0.0,7.0
Gcoe Firstworld,0.0,7.0
George Ellis Americas Bnpparibas,0.0,7.0
George Monm,0.0,7.0
Gerard,0.0,7.0
Geri Greenall,0.0,7.0
Ggrill Epelectric,0.0,7.0
Giselle James,0.0,7.0
Gr Coach,0.0,7.0
Greenizan,0.0,7.0
Gregory J,0.0,7.0
Ha,0.0,7.0
Hall Jr,0.0,7.0
Halon,0.0,7.0
Harasin,0.0,7.0
Heiny,0.0,7.0
Helpdesk Survey,0.0,7.0
Herbert Perez,0.0,7.0
Hof Swbell,0.0,7.0
Hoff,0.0,7.0
Holtzman,0.0,7.0
Hopkins,0.0,7.0
Huson,0.0,7.0
Hvo Adaytum,0.0,7.0
Ian Mcarthur,0.0,7.0
Ifaskianos Cfr,0.0,7.0
Imceaex Caiso Corporate Distribution Marketparticipants,0.0,7.0
Iparker Freshfields,0.0,7.0
J Burns,0.0,7.0
Jack Simunek,0.0,7.0
Jackie Adams,0.0,7.0
Jacquelyn,0.0,7.0
Janet Audunson,0.0,7.0
Japplegate Houstonstreet,0.0,7.0
Jaquet,0.0,7.0
Jay,0.0,7.0
Jcaskey Scana,0.0,7.0
Jcoffey,0.0,7.0
Jdasovi@Ect,0.0,7.0
Jdavidellwanger Swlegal,0.0,7.0
Jdenny,0.0,7.0
Jeff Coates,0.0,7.0
Jeffreye Smith,0.0,7.0
Jeffu Cs,0.0,7.0
Jennifer White,0.0,7.0
Jeremy Mills,0.0,7.0
Jerry Barbara Germany,0.0,7.0
Jgarci,0.0,7.0
Jgilchrist Viant,0.0,7.0
Jhammer Alleghenyenergy,0.0,7.0
Jilallen Deloitte Allen Jill Cjilallen,0.0,7.0
Jim Crowder,0.0,7.0
Jim Steffes,0.0,7.0
Jkelly Sjindustries,0.0,7.0
Jkinser,0.0,7.0
Jmfarrar Swbell,0.0,7.0
Joey Brewer Leathercenter,0.0,7.0
Johan Zaayman,0.0,7.0
John Congo Cooper,0.0,7.0
John Normand,0.0,7.0
John Thompson,0.0,7.0
Jpennix,0.0,7.0
Jsimon Ega,0.0,7.0
Jstewart Cmta,0.0,7.0
Juanita Ruffeno,0.0,7.0
Judy Nyegaard,0.0,7.0
Karen K,0.0,7.0
Kbooth,0.0,7.0
Kcole,0.0,7.0
Keith Miceli,0.0,7.0
Kelly,0.0,7.0
Kenneth Lovejoy,0.0,7.0
Kerrie Murray,0.0,7.0
Kinser,0.0,7.0
Kip Baumert,0.0,7.0
Ksanchez Houstonisd,0.0,7.0
Kulic,0.0,7.0
Kyran Hanks,0.0,7.0
Larry Gagliardi,0.0,7.0
Lazytrader Lyris Listenvoy,0.0,7.0
Lcash,0.0,7.0
Lees,0.0,7.0
Lharasin,0.0,7.0
Lisa Valley,0.0,7.0
Lisk,0.0,7.0
Lleibman,0.0,7.0
Lnewmansciarrino Elanpharma,0.0,7.0
Louv Acespower,0.0,7.0
Lsilva Ci Glendale,0.0,7.0
Lsoldan,0.0,7.0
Malowney,0.0,7.0
Marcus,0.0,7.0
Mark Meador,0.0,7.0
Marketing Product Development Calpx,0.0,7.0
Marlene Mccoy,0.0,7.0
Martin Holmes,0.0,7.0
Mary Barker,0.0,7.0
Mcapest,0.0,7.0
Mccormick,0.0,7.0
Mcevoy,0.0,7.0
Mcmichael,0.0,7.0
Mcvicker,0.0,7.0
Mdickin,0.0,7.0
Medcalf,0.0,7.0
Mehta,0.0,7.0
Melanie Facundo,0.0,7.0
Melissa White,0.0,7.0
Meridetk Kochind,0.0,7.0
Mgonzalez Nymex,0.0,7.0
Mguadar,0.0,7.0
Mhannusc,0.0,7.0
Mharris,0.0,7.0
Micah Hatten,0.0,7.0
Michael Abraham,0.0,7.0
Michael Koss,0.0,7.0
Michaelb Amhms,0.0,7.0
Miguel Padron,0.0,7.0
